YEAR,TONNAGE,MONTH_STRING,CUSTOMER_NM_Modified
2023,3.93,April, 08 RECYCLE
2023,7.3,April, 03 FARADAY
2023,2.31,May, 06 SALISBUR
2023,0.68,May, 07 MORGAN H
2023,0.04,May, 01 MORGAN H
2023,1.73,May, 10 CAMPUS C
2023,1.26,May, 06 SALISBUR
2023,6.65,May, 07 MORGAN H
2023,4.51,May, 10 CAMPUS C
2023,0.0,May, 07 MORGAN H
2023,0.27,May, 04 FOUNDERS
2023,2.73,May, 06 SALISBUR
2023,2.21,May, 10 CAMPUS C
2023,2.29,May, 04 FOUNDERS
2023,0.91,May, 01 MORGAN H
2023,0.5,May, 10 CAMPUS C
2023,0.68,May, 10 CAMPUS C
2023,0.63,May, 07 MORGAN H
2023,0.66,May, 10 CAMPUS C
2023,2.06,May, 04 FOUNDERS
2023,1.36,May, 10 CAMPUS C
2023,2.73,May, 10 CAMPUS C
2023,1.79,May, 06 SALISBUR
2023,0.0,May, 07 MORGAN H
2023,0.15,May, 04 FOUNDERS
2023,0.58,June, 10 CAMPUS C
2023,1.63,June, 10 CAMPUS C
2023,0.2,June, 01 MORGAN H
2023,1.47,June, 06 SALISBUR
2023,0.0,June, 10 CAMPUS C
2023,0.47,June, 10 CAMPUS C
2023,0.3,June, 01 MORGAN H
2023,5.33,June, 02 DANIELS
2023,1.39,June, 09 EAST HAL
2023,1.07,June, 07 MORGAN H
2023,0.0,June, 04 FOUNDERS
2023,0.94,June, 04 FOUNDERS
2023,0.0,June, 02 DANIELS
2023,1.81,June, 06 SALISBUR
2023,0.0,June, 07 MORGAN H
2023,1.49,June, 10 CAMPUS C
2023,0.0,June, 10 CAMPUS C
2023,2.81,June, 10 CAMPUS C
2023,3.44,June, 12 RECYCLE
2023,0.0,June, 01 MORGAN H
2023,1.53,June, 06 SALISBUR
2023,0.29,June, 04 FOUNDERS
2023,1.56,June, 10 CAMPUS C
2023,4.43,June, 08 RECYCLE
2023,1.77,June, 07 MORGAN H
2023,0.5,June, 10 CAMPUS C
2023,0.5,June, 10 CAMPUS C
2023,6.79,June, 03 FARADAY
2023,1.05,June, 10 CAMPUS C
2023,0.52,June, 12 RECYCLE
2023,1.88,June, 09 EAST HAL
2023,1.78,June, 08 RECYCLE
2023,0.0,June, 04 FOUNDERS
2023,1.79,June, 06 SALISBUR
2023,0.0,June, 04 FOUNDERS
2023,2.08,June, 06 SALISBUR
